t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
-1,716,1095.8966480446927,1139.15974860335,1237.481843575419
57662,1,0.0,6.77,56.0
57690,1,0.0,9.04,50.0
57706,1,40.0,53.27,94.0
57708,1,3.0,28.03,105.0
57743,1,20.0,27.17,47.0
57745,2,5.5,19.115000000000002,76.5
57755,1,0.0,17.63,86.0
57760,2,38.5,61.55500000000001,122.0
57763,1,0.0,15.16,107.0
57765,1,18.0,26.3,58.0
57769,2,36.0,48.19,106.0
57770,1,0.0,6.62,34.0
57791,1,36.0,50.66,144.0
57794,1,0.0,5.1,45.0
57798,1,74.0,99.51,186.0
57804,1,76.0,109.31,192.0
57807,1,9.0,32.27,156.0
57809,1,67.0,98.01,178.0
57811,3,31.666666666666668,53.346666666666664,156.66666666666666
57812,1,57.0,80.44,154.0
57815,1,0.0,8.08,86.0
57817,1,0.0,8.45,74.0
57819,1,23.0,36.66,106.0
57820,1,48.0,71.52,198.0
57827,1,58.0,78.19,210.0
57832,1,24.0,45.66,189.0
57834,1,0.0,7.97,88.0
57837,1,48.0,65.49,172.0
57841,1,0.0,11.24,106.0
57846,1,35.0,53.11,172.0
57851,1,30.0,51.51,187.0
57852,1,7.0,16.83,38.0
57854,2,31.5,52.905,137.5
57857,2,38.5,63.97,185.0
57859,3,37.666666666666664,65.60666666666667,176.33333333333334
57861,1,47.0,74.78,214.0
57862,1,31.0,48.74,150.0
57866,1,37.0,73.64,244.0
57867,1,8.0,48.85,167.0
57871,2,21.0,47.025,175.0
57881,1,31.0,46.15,107.0
57884,1,0.0,6.28,72.0
57887,1,5.0,32.91,122.0
57888,1,0.0,14.29,121.0
57890,1,0.0,20.14,149.0
57892,1,43.0,73.19,218.0
57894,1,59.0,103.66,248.0
57896,2,27.5,64.09,187.5
57897,2,22.5,49.56,149.5
57898,1,52.0,89.7,231.0
57899,1,0.0,3.88,15.0
57900,1,50.0,94.42,230.0
57901,2,53.0,77.42500000000001,192.0
57902,2,58.0,84.96,203.5
57903,3,28.333333333333332,55.30666666666667,189.0
57905,3,48.333333333333336,84.16,228.0
57909,2,75.5,104.395,264.0
57912,2,49.0,78.1,249.5
57914,1,23.0,46.76,279.0
57918,1,42.0,63.65,242.0
57919,1,81.0,111.06,305.0
57920,2,43.0,93.18,239.5
57922,1,64.0,171.59,299.0
57923,1,77.0,122.62,317.0
57924,1,94.0,186.2,318.0
57925,1,60.0,151.73,291.0
57927,1,76.0,147.49,298.0
57929,2,80.5,118.71000000000001,276.0
57930,1,38.0,59.09,96.0
57931,2,84.0,108.755,252.0
57933,2,77.5,101.985,255.5
57934,2,51.0,78.995,227.0
57935,1,27.0,47.62,170.0
57936,1,66.0,105.08,245.0
57939,3,37.0,62.71333333333333,194.33333333333334
57940,1,106.0,138.3,258.0
57941,1,39.0,84.33,215.0
57942,2,51.0,94.19,215.0
57946,1,76.0,100.27,154.0
57948,1,125.0,169.29,318.0
57949,2,62.0,90.92,189.0
57954,1,115.0,157.43,316.0
57958,1,0.0,14.91,95.0
57964,1,63.0,95.31,281.0
57965,1,0.0,27.17,206.0
57968,1,82.0,106.25,289.0
57971,2,37.5,48.845,94.5
57973,2,45.0,75.86500000000001,252.5
57974,1,3.0,11.34,21.0
57976,1,40.0,111.66,295.0
57977,1,67.0,144.6,332.0
