time,loaded,inserted,running,waiting,ended,arrived,collisions,teleports,halting,stopped,meanWaitingTime,meanTravelTime,meanSpeed,meanSpeedRelative,duration
57600.0,2,1,1,0,0,0,0,0,1,0,0.0,-1.0,0.0,0.0,4
57601.0,211,2,2,0,0,0,0,0,1,0,0.5,-1.0,1.16,0.08,20
57602.0,211,2,2,0,0,0,0,0,0,0,0.5,-1.0,2.96,0.21,0
57603.0,211,3,3,0,0,0,0,0,1,0,0.67,-1.0,3.33,0.24,1
57604.0,211,3,3,0,0,0,0,0,0,0,0.67,-1.0,5.37,0.39,0
57605.0,211,4,4,0,0,0,0,0,1,0,0.75,-1.0,5.34,0.38,2
57606.0,211,7,7,1,0,0,0,0,3,0,0.86,-1.0,4.13,0.3,1
57607.0,211,7,7,1,0,0,0,0,0,0,0.86,-1.0,5.94,0.43,1
57608.0,211,8,8,0,0,0,0,0,1,0,1.12,-1.0,6.52,0.47,1
57609.0,211,8,8,1,0,0,0,0,0,0,1.12,-1.0,8.32,0.6,0
57610.0,211,8,8,1,0,0,0,0,0,0,1.12,-1.0,9.86,0.71,0
57611.0,211,9,9,0,0,0,0,0,1,0,1.33,-1.0,10.07,0.73,0
57612.0,211,12,12,0,0,0,0,0,3,0,1.25,-1.0,7.69,0.55,2
57613.0,211,13,13,1,0,0,0,0,1,0,1.23,-1.0,7.66,0.56,1
57614.0,211,14,14,1,0,0,0,0,2,0,1.29,-1.0,7.89,0.58,1
57615.0,211,14,14,1,0,0,0,0,1,0,1.29,-1.0,8.47,0.63,1
57616.0,211,15,15,2,0,0,0,0,2,0,1.4,-1.0,8.61,0.63,2
57617.0,211,17,17,1,0,0,0,0,3,0,1.41,-1.0,8.37,0.61,1
57618.0,211,17,17,2,0,0,0,0,1,0,1.41,-1.0,8.89,0.65,2
57619.0,211,18,18,2,0,0,0,0,2,0,1.56,-1.0,8.92,0.65,1
57620.0,211,19,19,1,0,0,0,0,2,0,1.58,-1.0,8.95,0.65,0
57621.0,211,19,19,1,0,0,0,0,1,0,1.58,-1.0,9.55,0.69,2
57622.0,211,21,21,1,0,0,0,0,3,0,1.71,-1.0,9.26,0.68,1
57623.0,211,22,22,1,0,0,0,0,2,0,1.73,-1.0,9.59,0.7,2
57624.0,211,22,22,3,0,0,0,0,1,0,1.73,-1.0,10.26,0.74,1
57625.0,211,23,23,3,0,0,0,0,2,0,1.65,-1.0,10.3,0.74,2
57626.0,211,24,24,3,0,0,0,0,2,0,1.75,-1.0,10.34,0.74,2
57627.0,211,25,25,3,0,0,0,0,2,0,1.72,-1.0,10.33,0.74,1
57628.0,211,25,25,4,0,0,0,0,1,0,1.72,-1.0,10.7,0.77,2
57629.0,211,26,26,6,0,0,0,0,2,0,1.88,-1.0,10.62,0.76,1
57630.0,211,27,27,5,0,0,0,0,3,0,1.89,-1.0,10.4,0.75,2
57631.0,211,29,29,7,0,0,0,0,4,0,1.79,-1.0,9.72,0.7,1
57632.0,211,30,30,6,0,0,0,0,3,0,2.03,-1.0,9.9,0.71,2
57633.0,211,30,30,8,0,0,0,0,2,0,2.03,-1.0,10.22,0.73,2
57634.0,211,31,31,9,0,0,0,0,3,0,2.0,-1.0,10.06,0.72,1
57635.0,211,33,33,8,0,0,0,0,4,0,2.18,-1.0,9.97,0.71,2
57636.0,211,33,33,9,0,0,0,0,2,0,2.18,-1.0,10.28,0.73,1
57637.0,211,33,33,9,0,0,0,0,2,0,2.18,-1.0,10.77,0.76,2
57638.0,211,35,35,10,0,0,0,0,4,0,2.4,-1.0,10.21,0.71,1
57639.0,211,35,35,10,0,0,0,0,2,0,2.4,-1.0,10.01,0.69,1
57640.0,211,36,36,10,0,0,0,0,3,0,2.36,-1.0,9.45,0.65,2
57641.0,211,38,38,10,0,0,0,0,5,0,2.61,-1.0,8.94,0.61,1
57642.0,211,38,38,10,0,0,0,0,3,0,2.61,-1.0,9.09,0.61,2
57643.0,211,39,39,11,0,0,0,0,5,0,2.56,-1.0,9.19,0.62,1
57644.0,211,40,40,10,0,0,0,0,5,0,2.9,-1.0,9.17,0.63,2
57645.0,211,42,42,10,0,0,0,0,6,0,3.14,-1.0,8.91,0.6,1
57646.0,211,43,43,9,0,0,0,0,6,0,3.12,-1.0,9.14,0.62,1
57647.0,211,45,45,9,0,0,0,0,8,0,3.02,-1.0,8.73,0.6,1
57648.0,211,46,46,8,0,0,0,0,8,0,3.35,-1.0,8.2,0.56,1
57649.0,211,46,46,8,0,0,0,0,8,0,3.35,-1.0,7.93,0.55,1
57650.0,211,46,46,8,0,0,0,0,8,0,3.35,-1.0,7.59,0.53,1
57651.0,211,48,48,7,0,0,0,0,8,0,3.62,-1.0,6.94,0.49,1
57652.0,211,48,48,7,0,0,0,0,8,0,3.62,-1.0,6.83,0.48,1
57653.0,211,48,48,7,0,0,0,0,11,0,3.62,-1.0,6.98,0.49,1
57654.0,211,49,49,6,0,0,0,0,15,0,3.98,-1.0,6.73,0.47,1
57655.0,211,50,50,5,0,0,0,0,18,0,4.34,-1.0,6.23,0.44,2
57656.0,211,52,52,5,0,0,0,0,20,0,4.19,-1.0,5.8,0.41,1
57657.0,211,52,52,5,0,0,0,0,20,0,4.19,-1.0,5.64,0.4,2
57658.0,211,55,55,5,0,0,0,0,25,0,4.4,-1.0,5.32,0.38,1
57659.0,211,57,57,3,0,0,0,0,26,0,4.67,-1.0,5.24,0.37,1
57660.0,211,58,58,3,0,0,0,0,26,0,4.6,-1.0,5.1,0.36,2
57661.0,211,60,60,4,0,0,0,0,29,0,4.48,-1.0,4.86,0.35,1
57662.0,211,62,61,3,1,1,0,0,30,0,4.76,56.0,4.53,0.32,1
57663.0,211,63,62,2,1,1,0,0,28,0,4.73,56.0,4.56,0.33,2
57664.0,211,65,64,3,1,1,0,0,32,0,4.6,56.0,4.62,0.34,1
57665.0,211,67,66,1,1,1,0,0,32,0,4.87,56.0,4.48,0.33,2
57666.0,211,67,66,2,1,1,0,0,32,0,4.87,56.0,4.53,0.33,2
57667.0,211,68,67,2,1,1,0,0,37,0,4.82,56.0,4.59,0.33,1
57668.0,211,68,67,2,1,1,0,0,34,0,4.82,56.0,4.74,0.35,2
57669.0,211,69,68,3,1,1,0,0,36,0,4.75,56.0,4.91,0.36,2
57670.0,211,71,70,2,1,1,0,0,36,0,4.69,56.0,5.03,0.37,1
57671.0,211,71,70,2,1,1,0,0,34,0,4.69,56.0,5.22,0.39,1
57672.0,211,71,70,2,1,1,0,0,36,0,4.69,56.0,5.43,0.4,2
57673.0,211,74,73,1,1,1,0,0,38,0,4.59,56.0,5.19,0.39,2
57674.0,211,76,75,3,1,1,0,0,38,0,4.49,56.0,5.04,0.38,2
57675.0,211,76,75,3,1,1,0,0,36,0,4.49,56.0,4.94,0.37,2
57676.0,211,79,78,2,1,1,0,0,40,0,4.39,56.0,4.6,0.35,1
57677.0,211,79,78,2,1,1,0,0,40,0,4.39,56.0,4.52,0.34,2
57678.0,211,81,80,4,1,1,0,0,43,0,4.3,56.0,4.2,0.32,2
57679.0,211,84,83,3,1,1,0,0,45,0,4.23,56.0,3.94,0.3,2
57680.0,211,85,84,4,1,1,0,0,46,0,4.18,56.0,3.97,0.31,2
57681.0,211,87,86,3,1,1,0,0,50,0,4.11,56.0,4.08,0.31,2
57682.0,211,89,88,4,1,1,0,0,51,0,4.08,56.0,4.1,0.31,3
57683.0,211,91,90,4,1,1,0,0,51,0,4.01,56.0,4.14,0.31,2
57684.0,211,92,91,4,1,1,0,0,51,0,4.0,56.0,4.3,0.33,2
57685.0,211,93,92,4,1,1,0,0,49,0,4.02,56.0,4.45,0.34,2
57686.0,211,93,92,4,1,1,0,0,48,0,4.02,56.0,4.7,0.35,2
57687.0,211,94,93,4,1,1,0,0,50,0,4.02,56.0,4.8,0.36,1
57688.0,211,95,94,3,1,1,0,0,50,0,4.04,56.0,4.91,0.36,2
57689.0,211,96,95,3,1,1,0,0,53,0,4.01,56.0,4.96,0.37,3
57690.0,211,98,96,3,2,2,0,0,31,0,4.0,53.0,5.47,0.4,2
57691.0,211,99,97,2,2,2,0,0,19,0,3.98,53.0,6.1,0.44,3
57692.0,211,99,97,4,2,2,0,0,13,0,3.98,53.0,6.64,0.47,3
57693.0,211,101,99,3,2,2,0,0,11,0,3.99,53.0,7.2,0.51,2
57694.0,211,102,100,3,2,2,0,0,9,0,3.98,53.0,7.89,0.56,3
57695.0,211,102,100,4,2,2,0,0,5,0,3.98,53.0,8.79,0.61,2
57696.0,211,105,103,2,2,2,0,0,8,0,4.4,53.0,9.3,0.64,3
57697.0,211,107,105,2,2,2,0,0,6,0,4.36,53.0,9.87,0.68,4
57698.0,211,108,106,2,2,2,0,0,5,0,4.33,53.0,10.42,0.72,3
57699.0,211,108,106,2,2,2,0,0,4,0,4.33,53.0,10.78,0.74,3
57700.0,211,110,108,1,2,2,0,0,7,0,4.32,53.0,10.91,0.75,3
57701.0,211,111,109,1,2,2,0,0,8,0,4.28,53.0,10.92,0.75,3
57702.0,211,112,110,1,2,2,0,0,8,0,4.25,53.0,10.82,0.74,3
57703.0,211,113,111,0,2,2,0,0,8,0,4.27,53.0,10.9,0.75,2
57704.0,211,113,111,0,2,2,0,0,8,0,4.27,53.0,10.99,0.75,3
57705.0,211,113,111,0,2,2,0,0,8,0,4.27,53.0,10.92,0.75,3
57706.0,211,114,111,0,3,3,0,0,12,0,4.25,66.67,10.8,0.73,2
57707.0,211,115,112,0,3,3,0,0,13,0,4.22,66.67,10.61,0.72,3
57708.0,211,115,111,0,4,4,0,0,12,0,4.22,76.25,10.45,0.71,2
57709.0,211,115,111,0,4,4,0,0,12,0,4.22,76.25,10.36,0.7,2
57710.0,211,116,112,0,4,4,0,0,13,0,4.19,76.25,10.13,0.69,2
57711.0,211,116,112,0,4,4,0,0,12,0,4.19,76.25,9.94,0.68,2
57712.0,211,117,113,0,4,4,0,0,16,0,4.16,76.25,9.77,0.67,3
57713.0,211,119,115,0,4,4,0,0,17,0,4.11,76.25,9.43,0.65,2
